Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Performance,Profit_Margin
05-02-2023,Laptop,Electronics,West,5,4325,1023.39,Medium,0.236621965
20-01-2024,Laptop,Electronics,South,3,1557,181.08,Low,0.116300578
27-01-2022,Monitor,Accessories,South,6,3672,1002.5,Medium,0.273011983
29-03-2023,Mouse,Accessories,West,1,333,72.34,Low,0.217237237
17-01-2022,Headphones,Accessories,West,4,2384,577.26,Low,0.242139262
26-11-2024,Mouse,Accessories,West,6,888,210.39,Low,0.236925676
19-09-2024,Laptop,Electronics,West,5,3280,954.17,Low,0.290905488
20-07-2023,Mouse,Accessories,South,7,1239,177.39,Low,0.143171913
03-05-2024,Headphones,Accessories,East,8,5880,436.85,Low,0.074294218
03-09-2022,Smartphone,Electronics,West,2,1668,437.3,Low,0.262170264
09-07-2024,Printer,Office,West,7,4109,1037.64,Medium,0.252528596
17-11-2022,Smartwatch,Electronics,West,7,595,148.5,Low,0.249579832
28-12-2023,Headphones,Accessories,East,7,8155,1587.91,Medium,0.194716125
30-05-2022,Monitor,Accessories,South,3,1872,553.1,Low,0.295459402
17-04-2024,Smartwatch,Electronics,East,6,2124,126.03,Low,0.059336158
30-09-2024,Monitor,Accessories,West,5,5210,1338.8,Medium,0.25696737
02-06-2024,Mouse,Accessories,South,7,5761,362.48,Low,0.062919632
26-09-2022,Headphones,Accessories,South,7,6895,1596.35,Medium,0.231522843
17-12-2024,Smartwatch,Electronics,East,3,2118,317.08,Low,0.149707271
09-10-2024,Smartwatch,Electronics,North,5,830,58.28,Low,0.070216867
14-07-2023,Smartwatch,Electronics,North,1,851,93.56,Low,0.109941246
05-12-2023,Tablet,Electronics,East,5,4730,1365.63,Medium,0.288716702
03-06-2022,Mouse,Accessories,West,6,5460,845.75,Low,0.154899267
28-12-2024,Headphones,Accessories,East,5,5795,310.6,Low,0.053597929
06-08-2022,Laptop,Electronics,South,4,2008,338.44,Low,0.168545817
06-06-2023,Mouse,Accessories,South,7,2842,425.24,Low,0.149627023
01-02-2024,Mouse,Accessories,East,4,3404,392.22,Low,0.115223267
31-05-2023,Smartwatch,Electronics,West,1,1065,228.63,Low,0.214676056
14-06-2024,Tablet,Electronics,West,7,2149,121.69,Low,0.056626338
14-08-2024,Keyboard,Accessories,East,8,5912,1143.04,Medium,0.193342355
01-02-2023,Mouse,Accessories,West,3,3348,331.28,Low,0.098948626
28-04-2024,Smartphone,Electronics,South,3,2409,531.79,Low,0.220751349
05-04-2024,Tablet,Electronics,North,2,328,39.51,Low,0.120457317
31-01-2024,Smartphone,Electronics,West,8,6224,1561.42,Medium,0.250870823
09-01-2024,Smartwatch,Electronics,North,5,2530,486.09,Low,0.192130435
06-04-2022,Headphones,Accessories,West,4,4108,462.17,Low,0.112504869
22-05-2024,Printer,Office,South,5,1640,391.36,Low,0.238634146
30-12-2023,Laptop,Electronics,South,1,111,19.33,Low,0.174144144
17-03-2022,Headphones,Accessories,North,1,445,128.89,Low,0.289640449
24-05-2022,Printer,Office,North,4,3600,623.72,Low,0.173255556
09-06-2024,Mouse,Accessories,North,3,1335,176.44,Low,0.132164794
01-12-2024,Keyboard,Accessories,South,5,3090,242.15,Low,0.078365696
20-10-2023,Printer,Office,East,5,3910,538.52,Low,0.1377289
05-03-2024,Camera,Electronics,South,1,219,32.67,Low,0.149178082
05-12-2022,Smartphone,Electronics,West,5,390,27.77,Low,0.071205128
05-08-2022,Laptop,Electronics,North,6,3294,359.61,Low,0.10917122
21-03-2023,Keyboard,Accessories,West,4,4572,1038.05,Medium,0.227045057
08-02-2022,Monitor,Accessories,South,7,980,109.94,Low,0.112183673
01-04-2023,Headphones,Accessories,North,2,2262,532.12,Low,0.235243148
14-12-2022,Camera,Electronics,South,7,7518,1655.91,Medium,0.220259377
14-05-2022,Camera,Electronics,South,1,873,158.97,Low,0.18209622
16-02-2022,Mouse,Accessories,North,6,1512,423.03,Low,0.279781746
28-08-2024,Laptop,Electronics,West,1,705,165.16,Low,0.234269504
30-10-2023,Smartwatch,Electronics,North,8,3256,533.7,Low,0.163912776
24-06-2023,Tablet,Electronics,West,4,556,81.77,Low,0.147068345
17-05-2023,Mouse,Accessories,East,9,7101,2105.82,High,0.296552598
06-04-2023,Laptop,Electronics,West,9,8802,1344.96,Medium,0.152801636
26-03-2023,Headphones,Accessories,South,6,5592,1294.16,Medium,0.231430615
12-10-2024,Tablet,Electronics,North,2,1852,168.92,Low,0.091209503
26-06-2022,Monitor,Accessories,East,1,195,57.88,Low,0.296820513
15-04-2022,Mouse,Accessories,East,9,7884,2054.02,High,0.260530188
10-12-2023,Laptop,Electronics,East,5,4360,1160.55,Medium,0.266181193
23-09-2024,Mouse,Accessories,North,6,4920,929.18,Low,0.188857724
01-01-2022,Mouse,Accessories,East,3,3474,565,Low,0.16263673
03-02-2022,Keyboard,Accessories,West,1,930,222.5,Low,0.239247312
14-03-2023,Tablet,Electronics,South,7,1421,248.02,Low,0.174539057
24-08-2022,Headphones,Accessories,North,2,634,161.1,Low,0.254100946
07-07-2024,Camera,Electronics,East,1,673,114.42,Low,0.170014859
13-04-2022,Mouse,Accessories,South,5,3135,787.7,Low,0.251259968
08-05-2024,Smartphone,Electronics,East,6,882,184.48,Low,0.209160998
10-09-2024,Smartphone,Electronics,East,4,1192,212.77,Low,0.178498322
18-06-2024,Printer,Office,South,3,390,112.08,Low,0.287384615
10-09-2024,Tablet,Electronics,North,1,834,95.54,Low,0.114556355
06-05-2022,Smartphone,Electronics,East,6,612,83.75,Low,0.136846405
18-06-2024,Headphones,Accessories,West,9,8073,710.23,Low,0.087975969
29-10-2023,Keyboard,Accessories,North,8,2640,723.88,Low,0.27419697
13-11-2023,Smartphone,Electronics,North,3,3234,440.7,Low,0.136270872
21-08-2022,Monitor,Accessories,West,5,4435,355.51,Low,0.08016009
04-03-2024,Smartwatch,Electronics,North,2,2302,305.07,Low,0.132523892
17-04-2022,Camera,Electronics,East,6,1728,307.44,Low,0.177916667
20-12-2023,Laptop,Electronics,East,4,228,54.05,Low,0.237061404
19-03-2022,Tablet,Electronics,West,6,3450,705.74,Low,0.204562319
07-07-2024,Smartphone,Electronics,South,8,7456,1702.48,Medium,0.22833691
30-04-2023,Smartphone,Electronics,West,6,4728,705.85,Low,0.149291455
22-03-2024,Smartwatch,Electronics,North,7,945,124.62,Low,0.131873016
08-03-2022,Laptop,Electronics,North,4,296,65.05,Low,0.219763514
15-09-2023,Smartphone,Electronics,West,4,640,149.89,Low,0.234203125
01-03-2023,Tablet,Electronics,North,1,797,65.27,Low,0.081894605
24-10-2023,Monitor,Accessories,North,4,1456,431.89,Low,0.296627747
22-04-2024,Monitor,Accessories,South,6,4038,364.11,Low,0.090170877
27-06-2023,Tablet,Electronics,West,7,5656,355.81,Low,0.062908416
13-04-2023,Mouse,Accessories,West,4,3876,302.37,Low,0.078010836
19-05-2023,Keyboard,Accessories,South,6,1002,114.7,Low,0.114471058
15-11-2024,Headphones,Accessories,East,9,2187,413.76,Low,0.189190672
25-12-2023,Mouse,Accessories,North,6,7146,1627.42,Medium,0.227738595
31-03-2022,Keyboard,Accessories,South,1,189,14.88,Low,0.078730159
24-04-2024,Monitor,Accessories,East,5,940,266.02,Low,0.283
10-01-2022,Headphones,Accessories,North,1,951,127.58,Low,0.134153523
17-11-2022,Printer,Office,East,2,124,27.42,Low,0.221129032
29-06-2024,Mouse,Accessories,West,9,7506,594.28,Low,0.079173994
14-11-2022,Monitor,Accessories,West,7,8176,2308.76,High,0.282382583
11-08-2023,Smartphone,Electronics,East,5,2125,632.68,Low,0.297731765
22-05-2024,Headphones,Accessories,North,1,967,59.98,Low,0.062026887
19-03-2022,Headphones,Accessories,South,5,270,29.41,Low,0.108925926
23-10-2022,Keyboard,Accessories,West,9,10035,1486.3,Medium,0.148111609
26-02-2023,Printer,Office,North,8,6792,1125.23,Medium,0.165669906
03-10-2024,Printer,Office,East,1,714,99.13,Low,0.138837535
17-07-2022,Smartphone,Electronics,South,5,765,157.64,Low,0.206065359
04-11-2024,Headphones,Accessories,East,7,4221,358.02,Low,0.084818763
24-02-2023,Laptop,Electronics,North,4,2108,576.48,Low,0.273472486
08-08-2024,Monitor,Accessories,North,9,10530,2387.63,High,0.226745489
14-05-2024,Keyboard,Accessories,South,6,3396,914.17,Low,0.269190224
15-01-2022,Monitor,Accessories,North,4,1060,213.05,Low,0.200990566
10-05-2022,Tablet,Electronics,East,5,480,73.07,Low,0.152229167
10-03-2022,Headphones,Accessories,West,3,2529,285.65,Low,0.112949783
23-01-2022,Smartwatch,Electronics,East,8,4792,511.97,Low,0.106838481
19-09-2024,Smartwatch,Electronics,East,8,8056,605.8,Low,0.07519861
06-06-2024,Tablet,Electronics,North,4,4228,947.76,Low,0.224162725
10-10-2024,Tablet,Electronics,East,1,653,93.78,Low,0.143614089
24-03-2024,Tablet,Electronics,North,9,7452,1212.51,Medium,0.16270934
21-07-2023,Mouse,Accessories,East,4,4128,1156.71,Medium,0.280210756
21-07-2022,Tablet,Electronics,West,5,5090,1201.56,Medium,0.236062868
01-09-2022,Camera,Electronics,North,5,4930,387.33,Low,0.078565923
20-04-2023,Smartwatch,Electronics,South,6,2610,434.37,Low,0.166425287
11-12-2023,Laptop,Electronics,North,3,2139,415.84,Low,0.194408602
29-09-2024,Tablet,Electronics,South,1,226,55.4,Low,0.245132743
20-11-2023,Smartwatch,Electronics,West,2,2244,212.08,Low,0.094509804
15-07-2023,Monitor,Accessories,East,6,3150,578.87,Low,0.183768254
24-12-2023,Laptop,Electronics,South,7,3388,347.19,Low,0.102476387
13-08-2023,Laptop,Electronics,East,8,8736,580.31,Low,0.066427427
24-04-2022,Smartphone,Electronics,South,2,1102,176.53,Low,0.160190563
13-07-2024,Monitor,Accessories,East,3,2640,199.97,Low,0.075746212
11-06-2022,Printer,Office,West,3,2547,300.74,Low,0.118076168
28-10-2024,Laptop,Electronics,North,7,728,64.82,Low,0.089038462
24-11-2022,Camera,Electronics,South,7,3444,607.44,Low,0.176376307
03-10-2024,Camera,Electronics,West,5,3140,853.66,Low,0.271866242
24-03-2024,Smartphone,Electronics,East,3,435,129.27,Low,0.297172414
28-06-2024,Keyboard,Accessories,East,4,856,72.99,Low,0.085268692
31-05-2022,Printer,Office,North,2,112,23.33,Low,0.208303571
25-03-2024,Headphones,Accessories,North,3,2247,507.79,Low,0.225985759
31-01-2023,Keyboard,Accessories,West,2,1512,298.73,Low,0.197572751
23-06-2024,Mouse,Accessories,South,5,4915,1196.6,Medium,0.2434588
16-08-2023,Mouse,Accessories,South,3,2709,663.54,Low,0.244939092
10-06-2023,Tablet,Electronics,North,7,1239,118.36,Low,0.095528652
09-05-2023,Tablet,Electronics,West,2,572,86.16,Low,0.150629371
08-05-2022,Smartwatch,Electronics,North,2,1708,93.25,Low,0.054596019
06-11-2024,Smartwatch,Electronics,North,4,360,42.66,Low,0.1185
08-12-2022,Camera,Electronics,North,6,3822,388.34,Low,0.101606489
25-09-2022,Camera,Electronics,North,6,4680,932.97,Low,0.199352564
10-07-2024,Camera,Electronics,North,5,2520,487.18,Low,0.193325397
29-03-2024,Smartwatch,Electronics,North,2,2138,619.29,Low,0.289658559
11-01-2022,Keyboard,Accessories,West,3,2529,169.6,Low,0.06706208
08-04-2022,Keyboard,Accessories,East,1,236,29.33,Low,0.124279661
21-01-2024,Tablet,Electronics,West,6,2730,636.48,Low,0.233142857
27-04-2023,Headphones,Accessories,North,3,3021,872.49,Low,0.288808342
06-11-2024,Smartwatch,Electronics,North,2,244,16.78,Low,0.068770492
11-05-2022,Camera,Electronics,South,8,728,120.06,Low,0.164917582
02-10-2022,Mouse,Accessories,North,3,453,89.49,Low,0.197549669
12-01-2022,Laptop,Electronics,South,1,379,84.38,Low,0.222638522
09-01-2023,Tablet,Electronics,West,3,2130,510.69,Low,0.239760563
04-05-2023,Monitor,Accessories,North,8,4120,710.11,Low,0.172356796
07-09-2024,Smartwatch,Electronics,South,7,3150,299.7,Low,0.095142857
17-05-2022,Smartwatch,Electronics,East,7,2688,603.07,Low,0.224356399
17-08-2023,Tablet,Electronics,East,2,1752,501.19,Low,0.286067352
07-09-2023,Keyboard,Accessories,North,7,7308,948.4,Low,0.129775588
11-05-2022,Tablet,Electronics,North,3,2007,160.84,Low,0.080139512
12-05-2023,Tablet,Electronics,West,7,7224,479.23,Low,0.066338594
08-05-2023,Monitor,Accessories,South,9,6939,1249.31,Medium,0.180041793
18-02-2023,Smartphone,Electronics,East,7,5516,1475.67,Medium,0.267525381
29-01-2022,Printer,Office,South,2,2224,116.47,Low,0.052369604
12-01-2023,Laptop,Electronics,South,5,3985,824.4,Low,0.206875784
03-01-2022,Camera,Electronics,North,7,2723,638.26,Low,0.234395887
20-10-2022,Tablet,Electronics,North,2,746,170.75,Low,0.228887399
21-08-2024,Laptop,Electronics,West,5,3170,245.25,Low,0.077365931
11-12-2023,Smartwatch,Electronics,East,5,550,63.11,Low,0.114745455
14-08-2022,Tablet,Electronics,North,8,480,132.45,Low,0.2759375
03-06-2024,Printer,Office,East,4,3284,354.4,Low,0.107917174
23-01-2024,Smartwatch,Electronics,South,2,1748,183.75,Low,0.105120137
20-11-2023,Headphones,Accessories,North,8,824,240.84,Low,0.292281553
03-03-2022,Headphones,Accessories,North,4,1872,448.46,Low,0.239561966
20-02-2024,Tablet,Electronics,West,3,627,103.98,Low,0.165837321
09-08-2024,Camera,Electronics,East,9,5661,1104.02,Medium,0.195022081
19-06-2022,Camera,Electronics,North,3,2910,765.47,Low,0.26304811
01-09-2024,Tablet,Electronics,South,9,9036,1087.46,Medium,0.120347499
30-08-2024,Tablet,Electronics,West,5,4815,338.31,Low,0.070261682
12-08-2022,Mouse,Accessories,South,1,1187,206.28,Low,0.173782645
04-08-2022,Headphones,Accessories,East,3,3339,732.92,Low,0.219502845
20-02-2024,Tablet,Electronics,East,1,620,165.43,Low,0.266822581
26-02-2023,Camera,Electronics,West,5,2025,414.42,Low,0.204651852
20-11-2024,Printer,Office,East,5,3030,811.92,Low,0.267960396
12-08-2023,Smartwatch,Electronics,North,5,655,166.69,Low,0.25448855
17-01-2022,Printer,Office,West,2,2238,294.54,Low,0.131608579
12-04-2023,Smartphone,Electronics,South,8,3312,811.31,Low,0.244960749
26-07-2023,Printer,Office,East,9,9387,1271.64,Medium,0.135468201
01-01-2024,Mouse,Accessories,West,6,5790,1285.21,Medium,0.221970639
06-12-2023,Laptop,Electronics,South,6,2700,527.97,Low,0.195544444
05-12-2023,Smartwatch,Electronics,East,8,2072,555.06,Low,0.2678861
27-10-2024,Keyboard,Accessories,North,3,2991,716.54,Low,0.239565363
04-08-2024,Laptop,Electronics,East,6,5568,958.59,Low,0.17216056
01-02-2023,Smartwatch,Electronics,North,7,5509,1648.74,Medium,0.299281176
02-06-2024,Printer,Office,West,7,5922,1323.1,Medium,0.223421142
28-04-2024,Smartphone,Electronics,South,4,4380,362.81,Low,0.082833333
25-03-2022,Tablet,Electronics,South,5,1760,272.68,Low,0.154931818
05-10-2024,Headphones,Accessories,North,9,5571,1523.81,Medium,0.273525399
19-12-2024,Tablet,Electronics,South,2,1082,182.1,Low,0.168299445
18-07-2022,Camera,Electronics,East,1,569,138.11,Low,0.242724077
11-06-2023,Mouse,Accessories,North,8,3416,697.42,Low,0.204162763
13-10-2024,Printer,Office,West,1,570,57.07,Low,0.100122807
07-08-2023,Monitor,Accessories,East,6,3300,386.92,Low,0.117248485
04-12-2022,Laptop,Electronics,South,8,2584,568.77,Low,0.220112229
18-02-2024,Monitor,Accessories,South,9,7650,2204.44,High,0.288162092
05-12-2024,Headphones,Accessories,West,8,3600,272.51,Low,0.075697222
15-12-2023,Monitor,Accessories,West,6,846,190.87,Low,0.225614657
12-08-2023,Smartphone,Electronics,West,1,51,9.36,Low,0.183529412
20-05-2024,Smartwatch,Electronics,South,6,7056,586.91,Low,0.083178855
05-06-2024,Smartwatch,Electronics,West,2,384,38.41,Low,0.100026042
09-01-2022,Laptop,Electronics,South,8,2928,663.54,Low,0.226618852
17-12-2023,Camera,Electronics,West,7,1904,352.86,Low,0.18532563
08-09-2022,Tablet,Electronics,East,2,2314,312.07,Low,0.134861711
22-01-2022,Printer,Office,South,4,1028,192.13,Low,0.186896887
04-09-2024,Headphones,Accessories,South,9,8307,1326.23,Medium,0.159652101
20-01-2024,Printer,Office,West,9,1539,203.54,Low,0.132254711
03-11-2022,Tablet,Electronics,West,7,2506,537.98,Low,0.214676776
03-07-2023,Smartphone,Electronics,West,6,5778,1232.54,Medium,0.213316026
25-01-2024,Tablet,Electronics,East,9,10188,2165.78,High,0.212581468
11-05-2024,Monitor,Accessories,North,1,952,157.7,Low,0.165651261
02-01-2024,Smartwatch,Electronics,West,8,3624,750.86,Low,0.207190949
24-02-2023,Keyboard,Accessories,South,8,7968,1551.12,Medium,0.194668675
20-07-2024,Mouse,Accessories,South,2,1254,250.09,Low,0.199433812
14-06-2023,Printer,Office,West,3,705,196.05,Low,0.278085106
10-04-2022,Mouse,Accessories,West,1,916,223.5,Low,0.243995633
01-10-2024,Printer,Office,North,2,848,129.96,Low,0.153254717
10-05-2022,Monitor,Accessories,East,8,2240,313.17,Low,0.139808036
28-01-2022,Monitor,Accessories,South,1,940,120.35,Low,0.128031915
05-04-2023,Headphones,Accessories,West,5,1550,203.51,Low,0.131296774
22-09-2023,Keyboard,Accessories,South,7,2352,256.4,Low,0.109013605
29-08-2024,Smartwatch,Electronics,North,9,1638,183.75,Low,0.112179487
18-11-2023,Camera,Electronics,North,6,7164,1442.72,Medium,0.201384701
12-09-2023,Mouse,Accessories,East,1,205,54.54,Low,0.26604878
26-05-2023,Keyboard,Accessories,North,2,766,49.23,Low,0.06426893
30-04-2023,Keyboard,Accessories,North,1,168,17.84,Low,0.106190476
01-11-2024,Mouse,Accessories,South,1,1058,207.55,Low,0.196172023
06-05-2022,Keyboard,Accessories,South,5,1455,423.81,Low,0.291278351
10-05-2023,Camera,Electronics,East,2,2224,364.04,Low,0.16368705
04-11-2022,Smartphone,Electronics,West,7,1400,80.49,Low,0.057492857
09-05-2022,Smartphone,Electronics,East,7,7567,2213.18,High,0.292477864
07-11-2022,Tablet,Electronics,East,6,3396,987.68,Low,0.290836278
11-08-2023,Smartwatch,Electronics,East,2,704,135.63,Low,0.19265625
21-10-2024,Tablet,Electronics,East,9,7767,2172.19,High,0.279669113
06-10-2024,Mouse,Accessories,West,5,2050,157.13,Low,0.07664878
08-08-2023,Monitor,Accessories,North,9,10458,2799.48,High,0.267687894
19-01-2022,Camera,Electronics,South,4,4700,619.26,Low,0.131757447
30-04-2024,Smartphone,Electronics,North,2,892,222.51,Low,0.249450673
26-12-2023,Laptop,Electronics,East,8,6968,1479.09,Medium,0.212268944
07-04-2024,Laptop,Electronics,North,7,1344,300.88,Low,0.223869048
18-10-2022,Camera,Electronics,West,1,354,65.99,Low,0.186412429
21-04-2024,Monitor,Accessories,South,3,3051,662.23,Low,0.217053425
26-03-2024,Camera,Electronics,South,3,402,106.87,Low,0.265845771
31-10-2022,Monitor,Accessories,North,5,3570,517.82,Low,0.145047619
03-03-2023,Keyboard,Accessories,North,7,3829,876.35,Low,0.228871768
03-02-2023,Mouse,Accessories,North,7,4676,242.64,Low,0.051890505
15-04-2023,Keyboard,Accessories,East,3,1119,317.36,Low,0.283610366
09-05-2023,Smartphone,Electronics,East,4,4228,764.3,Low,0.18077105
02-01-2022,Headphones,Accessories,North,8,1240,251.2,Low,0.202580645
28-11-2024,Keyboard,Accessories,North,9,3591,342.18,Low,0.095288221
05-02-2022,Printer,Office,West,8,3952,451.08,Low,0.114139676
05-06-2024,Keyboard,Accessories,South,6,3648,1050.08,Medium,0.287850877
15-11-2024,Monitor,Accessories,North,5,3875,768.74,Low,0.198384516
13-11-2023,Smartwatch,Electronics,West,8,3416,478.9,Low,0.140193208
19-02-2022,Tablet,Electronics,West,1,908,222.58,Low,0.245132159
06-05-2024,Headphones,Accessories,South,4,4532,987.32,Low,0.217855252
04-08-2023,Headphones,Accessories,East,4,4168,650.15,Low,0.155986084
23-09-2023,Laptop,Electronics,North,3,3543,941.37,Low,0.265698561
14-09-2024,Laptop,Electronics,East,6,5124,1078.57,Medium,0.210493755
17-03-2023,Smartwatch,Electronics,South,9,5751,1196.23,Medium,0.208003825
29-09-2023,Camera,Electronics,East,2,624,139.64,Low,0.223782051
01-12-2023,Camera,Electronics,South,1,508,151.29,Low,0.297814961
13-09-2023,Headphones,Accessories,South,4,4700,914.6,Low,0.194595745
14-03-2022,Keyboard,Accessories,West,8,3216,639.78,Low,0.198936567
15-07-2023,Laptop,Electronics,West,6,2844,581,Low,0.204289733
29-05-2022,Smartphone,Electronics,West,5,2385,258.6,Low,0.108427673
16-01-2023,Monitor,Accessories,South,8,928,170.05,Low,0.183243534
06-09-2023,Headphones,Accessories,North,6,4656,673.35,Low,0.144619845
29-03-2023,Headphones,Accessories,North,2,330,21.46,Low,0.065030303
01-11-2023,Camera,Electronics,North,7,1799,274.11,Low,0.152367982
25-08-2022,Printer,Office,East,1,1029,173.61,Low,0.168717201
30-12-2022,Headphones,Accessories,North,8,5432,1619.39,Medium,0.298120398
04-09-2024,Camera,Electronics,West,5,5785,1191.11,Medium,0.205896283
08-01-2024,Printer,Office,North,1,1062,272.42,Low,0.256516008
27-12-2022,Keyboard,Accessories,North,1,163,22.07,Low,0.135398773
14-04-2024,Smartphone,Electronics,West,9,9162,1625.62,Medium,0.177430692
10-02-2023,Printer,Office,East,4,1440,130.24,Low,0.090444444
15-07-2023,Monitor,Accessories,South,5,1465,149.62,Low,0.102129693
27-10-2024,Monitor,Accessories,West,2,366,31.23,Low,0.085327869
19-07-2024,Camera,Electronics,South,5,3135,277.28,Low,0.088446571
03-03-2024,Keyboard,Accessories,North,2,630,161.04,Low,0.255619048
12-04-2024,Monitor,Accessories,South,1,213,42.94,Low,0.201596244
20-06-2024,Monitor,Accessories,North,4,3792,1092.85,Medium,0.28819884
21-06-2023,Mouse,Accessories,East,2,1932,109.07,Low,0.056454451
25-01-2023,Keyboard,Accessories,West,4,4152,317.28,Low,0.076416185
17-02-2024,Smartphone,Electronics,North,7,3612,529.57,Low,0.146614064
09-09-2024,Smartphone,Electronics,East,2,2258,280.76,Low,0.124340124
09-07-2022,Camera,Electronics,South,3,594,47.73,Low,0.080353535
01-09-2023,Headphones,Accessories,West,7,8071,1799.06,Medium,0.222904225
30-03-2024,Keyboard,Accessories,North,7,5838,631.45,Low,0.108162042
22-12-2024,Keyboard,Accessories,North,4,692,181.31,Low,0.262008671
08-09-2024,Keyboard,Accessories,South,3,1704,309.06,Low,0.181373239
21-01-2023,Printer,Office,South,5,3235,941.24,Low,0.290955178
12-10-2023,Mouse,Accessories,East,6,4746,545.57,Low,0.114953645
01-08-2022,Smartwatch,Electronics,South,8,7600,788.88,Low,0.1038
03-11-2023,Smartphone,Electronics,West,5,1935,128.01,Low,0.066155039
04-12-2023,Laptop,Electronics,North,3,1638,306.29,Low,0.186990232
30-06-2023,Keyboard,Accessories,West,7,4746,816.6,Low,0.172060683
01-02-2023,Smartphone,Electronics,North,8,4824,1187.93,Medium,0.246254146
09-05-2022,Camera,Electronics,South,1,1193,153.72,Low,0.128851635
16-12-2023,Laptop,Electronics,East,2,562,92.94,Low,0.165373665
20-03-2022,Smartphone,Electronics,North,8,6200,1296.84,Medium,0.209167742
28-07-2024,Printer,Office,North,8,4128,315.48,Low,0.076424419
28-03-2022,Printer,Office,East,5,5405,326.56,Low,0.060418131
06-11-2024,Laptop,Electronics,North,3,1371,104.66,Low,0.076338439
01-01-2023,Keyboard,Accessories,West,5,1405,194.33,Low,0.138313167
18-03-2023,Keyboard,Accessories,North,3,1644,158.32,Low,0.096301703
18-09-2024,Mouse,Accessories,West,6,3414,396.92,Low,0.116262449
19-08-2024,Laptop,Electronics,East,8,3272,674.57,Low,0.206164425
18-06-2022,Smartphone,Electronics,North,3,2655,646.91,Low,0.24365725
29-05-2022,Smartwatch,Electronics,West,7,1673,458.32,Low,0.273950986
09-06-2022,Tablet,Electronics,East,2,846,145.09,Low,0.171501182
03-05-2023,Smartphone,Electronics,East,1,985,196.64,Low,0.199634518
17-11-2023,Smartwatch,Electronics,North,9,7551,894.4,Low,0.118447888
08-02-2022,Tablet,Electronics,North,5,855,217.16,Low,0.253988304
23-10-2023,Camera,Electronics,South,2,396,94.55,Low,0.238762626
24-08-2022,Tablet,Electronics,West,8,2296,560.48,Low,0.244111498
09-05-2024,Monitor,Accessories,North,6,1704,199.94,Low,0.117335681
